insc,nota1,nota2,nota3,nota4,red
1133059,577.569,430.799,532.473,530.688,900
1088062,577.569,589.200,454.679,464.088,850
1117811,316.767,494.160,415.782,530.688,500
1077610,447.168,304.079,415.782,464.088,675
1097087,447.168,367.439,376.886,497.388,850
1126549,534.102,367.439,532.473,464.088,750
1079512,534.102,430.799,454.679,464.088,850
1135689,534.102,557.520,532.473,530.688,825
1121904,360.234,367.439,493.576,464.088,750
1079300,534.102,399.119,376.886,430.788,650
1133588,490.635,430.799,376.886,563.988,775
1097084,403.701,462.480,454.679,397.488,775
1074787,534.102,430.799,299.092,464.088,825
1138764,621.036,335.759,454.679,464.088,800
1124758,490.635,462.480,415.782,597.288,900
1125707,490.635,494.160,415.782,497.388,625
1124059,577.569,557.520,337.989,630.588,850
1081329,447.168,462.480,337.989,430.788,775
1139361,490.635,525.840,493.576,397.488,825
1121512,273.300,399.119,493.576,464.088,825
1073955,490.635,494.160,454.679,397.488,800
1105522,447.168,557.520,415.782,497.388,700
1116821,534.102,335.759,493.576,464.088,725
1077657,490.635,494.160,415.782,497.388,875
1076747,360.234,494.160,493.576,497.388,750
1112824,577.569,525.840,415.782,430.788,750
1133699,534.102,399.119,415.782,464.088,825
1093089,621.036,462.480,532.473,397.488,800
1073423,490.635,335.759,415.782,430.788,800
1084842,403.701,367.439,337.989,430.788,650
1134578,316.767,399.119,299.092,464.088,700
1138972,534.102,589.200,610.267,397.488,750
1125122,490.635,367.439,415.782,397.488,800
1090013,490.635,462.480,493.576,464.088,750
1117161,447.168,494.160,376.886,430.788,825
1089613,577.569,462.480,454.679,430.788,800
1124104,534.102,399.119,532.473,464.088,850
1125539,490.635,494.160,532.473,464.088,725
1133386,316.767,335.759,415.782,464.088,775
1122455,360.234,367.439,415.782,430.788,750
1113475,490.635,557.520,493.576,464.088,875
1137502,490.635,462.480,376.886,464.088,800
1083274,577.569,335.759,415.782,497.388,750
1079255,403.701,367.439,493.576,397.488,725
1105699,534.102,462.480,532.473,497.388,750
1088383,360.234,367.439,415.782,397.488,750
1126224,577.569,494.160,454.679,430.788,700
1138846,534.102,430.799,454.679,430.788,775
1075621,577.569,525.840,454.679,464.088,750
1074118,403.701,525.840,454.679,464.088,850
1074384,360.234,367.439,493.576,430.788,700
1115697,490.635,399.119,415.782,497.388,725
1072294,490.635,462.480,532.473,430.788,825
1104338,490.635,272.399,532.473,397.488,800
1137977,621.036,399.119,454.679,464.088,725
1072701,490.635,272.399,454.679,364.187,700
1076980,403.701,399.119,610.267,430.788,750
1077356,403.701,335.759,493.576,530.688,775
1098886,490.635,367.439,415.782,430.788,700
1132809,403.701,399.119,454.679,464.088,775
1124644,316.767,525.840,454.679,364.187,700
1098405,360.234,462.480,376.886,497.388,825
1086337,316.767,367.439,493.576,497.388,775
1080756,534.102,557.520,415.782,397.488,850
1133536,316.767,367.439,454.679,464.088,700
1077108,447.168,462.480,415.782,464.088,825
1086877,490.635,557.520,493.576,797.088,775
1116650,534.102,335.759,532.473,397.488,825
1122196,490.635,430.799,493.576,464.088,800
1076495,621.036,494.160,299.092,497.388,825
1072298,534.102,557.520,571.370,530.688,900
1132921,403.701,430.799,415.782,397.488,750
1084024,447.168,399.119,454.679,397.488,700
1126574,577.569,430.799,376.886,464.088,775
1088825,447.168,494.160,493.576,397.488,750
1126188,447.168,240.719,454.679,430.788,700
1128535,447.168,399.119,454.679,364.187,700
1077163,316.767,430.799,454.679,563.988,800
1084925,447.168,367.439,454.679,397.488,750
1079794,447.168,399.119,376.886,497.388,800
1099032,534.102,399.119,337.989,430.788,700
1101917,403.701,430.799,337.989,397.488,700
1129297,490.635,462.480,376.886,397.488,775
1136772,447.168,494.160,337.989,464.088,700
1109702,621.036,620.880,493.576,464.088,750
1073158,664.503,620.880,532.473,530.688,825
1094036,403.701,304.079,415.782,430.788,775
1109681,447.168,430.799,493.576,430.788,775
1132397,273.300,367.439,337.989,430.788,775
1139259,447.168,430.799,454.679,430.788,775
1123254,577.569,367.439,454.679,464.088,750
1078126,577.569,525.840,610.267,464.088,800
1074846,447.168,494.160,493.576,430.788,775
1103821,577.569,462.480,454.679,430.788,750
1105273,316.767,557.520,337.989,497.388,700
1110789,621.036,557.520,454.679,464.088,800
1131291,577.569,335.759,454.679,397.488,700
1134174,577.569,652.561,532.473,430.788,800
1076625,403.701,462.480,493.576,397.488,725
1120149,577.569,589.200,493.576,464.088,750
1078399,490.635,304.079,454.679,364.187,700
1078547,447.168,430.799,415.782,497.388,750
1082191,490.635,430.799,415.782,430.788,850
1116215,403.701,367.439,415.782,597.288,650
1097717,447.168,525.840,454.679,430.788,875
1106408,403.701,367.439,415.782,563.988,775
1129480,229.834,272.399,337.989,497.388,675
1124922,360.234,304.079,376.886,430.788,800
1109289,316.767,367.439,454.679,430.788,700
1135311,490.635,399.119,493.576,497.388,750
1129207,316.767,304.079,415.782,530.688,725
1137614,534.102,557.520,415.782,464.088,775
1107653,447.168,462.480,415.782,397.488,775
1093085,360.234,399.119,337.989,430.788,675
1097313,360.234,462.480,415.782,430.788,725
1077507,403.701,367.439,376.886,430.788,775
1098898,403.701,272.399,454.679,364.187,700
1087475,490.635,399.119,454.679,497.388,800
1136262,534.102,557.520,454.679,430.788,800
1133684,447.168,430.799,415.782,464.088,725
1131829,360.234,272.399,454.679,497.388,700
1132816,621.036,557.520,493.576,397.488,825
1136589,447.168,367.439,571.370,430.788,750
1075192,490.635,462.480,532.473,530.688,775
1091755,229.834,399.119,415.782,397.488,700
1082071,534.102,430.799,454.679,430.788,825
1080136,490.635,620.880,454.679,430.788,850
1076136,664.503,462.480,376.886,497.388,825
1118726,621.036,525.840,532.473,563.988,900
1132716,534.102,430.799,376.886,464.088,800
1123626,534.102,399.119,532.473,430.788,800
1135985,490.635,462.480,493.576,497.388,775
1089310,577.569,557.520,415.782,430.788,700
1081454,490.635,557.520,454.679,364.187,850
1135993,534.102,462.480,649.164,497.388,875
1099068,490.635,525.840,337.989,430.788,800
1128886,447.168,557.520,454.679,464.088,775
1089085,447.168,304.079,415.782,430.788,700
1088118,447.168,430.799,376.886,430.788,800
1110092,577.569,494.160,376.886,430.788,750
1094678,447.168,399.119,376.886,430.788,725
1073683,534.102,430.799,454.679,464.088,800
1082165,403.701,367.439,493.576,430.788,725
1103122,360.234,399.119,415.782,430.788,725
1078019,403.701,399.119,299.092,430.788,750
1128753,490.635,525.840,493.576,430.788,700
1073813,273.300,430.799,415.782,497.388,750
1108790,534.102,367.439,493.576,530.688,525
1128212,229.834,399.119,337.989,464.088,725
1074924,534.102,525.840,532.473,464.088,850
1103472,229.834,272.399,454.679,364.187,700
1094136,664.503,652.561,610.267,530.688,900
1131701,490.635,462.480,376.886,397.488,775
1125796,403.701,462.480,415.782,530.688,775
1074953,490.635,525.840,415.782,530.688,875
1117589,403.701,367.439,454.679,397.488,100
1124897,534.102,557.520,532.473,430.788,850
1071497,229.834,367.439,415.782,397.488,800
1131039,490.635,462.480,376.886,464.088,750
1077770,490.635,430.799,376.886,464.088,775
1089477,447.168,367.439,299.092,497.388,725
1130120,577.569,494.160,415.782,530.688,850
1081536,534.102,462.480,376.886,497.388,850
1085677,534.102,430.799,415.782,563.988,775
1125830,577.569,525.840,493.576,530.688,750
1138621,490.635,430.799,454.679,464.088,750
1075324,621.036,620.880,415.782,430.788,800
1100701,490.635,557.520,454.679,430.788,875
1095924,577.569,430.799,571.370,397.488,775
1076578,447.168,399.119,415.782,464.088,725
1109039,316.767,304.079,376.886,464.088,775
1073725,316.767,430.799,415.782,464.088,650
1111309,273.300,304.079,376.886,464.088,675
1079765,490.635,462.480,415.782,397.488,775
1073233,534.102,430.799,532.473,397.488,825
1117787,534.102,462.480,493.576,397.488,800
1137348,577.569,557.520,493.576,497.388,875
